atom_id,atom_name,domain_family,parity_coverage_level,parity_fixture_count,parity_case_count,runtime_probe_status,risk_tier,review_priority,parity_coverage_reasons
ageoa.advancedvi.location_scale.evaluate_log_probability_density@ageoa/advancedvi/location_scale/atoms.py:18,ageoa.advancedvi.location_scale.evaluate_log_probability_density,advancedvi,none,0,0,not_applicable,medium,review_later,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.advancedvi.optimize.optimizationlooporchestration@ageoa/advancedvi/optimize/atoms.py:21,ageoa.advancedvi.optimize.optimizationlooporchestration,advancedvi,none,0,0,not_applicable,medium,review_later,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.advancedvi.repgradelbo.gradient_oracle_evaluation@ageoa/advancedvi/repgradelbo/atoms.py:23,ageoa.advancedvi.repgradelbo.gradient_oracle_evaluation,advancedvi,none,0,0,not_applicable,medium,review_later,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.algorithms.sorting.counting_sort@ageoa/algorithms/sorting.py:109,ageoa.algorithms.sorting.counting_sort,algorithms,none,0,0,not_applicable,high,review_now,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.algorithms.sorting.heapsort@ageoa/algorithms/sorting.py:73,ageoa.algorithms.sorting.heapsort,algorithms,none,0,0,not_applicable,high,review_now,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.algorithms.sorting.merge_sort@ageoa/algorithms/sorting.py:29,ageoa.algorithms.sorting.merge_sort,algorithms,none,0,0,not_applicable,high,review_now,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.algorithms.sorting.quicksort@ageoa/algorithms/sorting.py:51,ageoa.algorithms.sorting.quicksort,algorithms,none,0,0,not_applicable,high,review_now,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.algorithms.sorting.radix_sort@ageoa/algorithms/sorting.py:146,ageoa.algorithms.sorting.radix_sort,algorithms,none,0,0,not_applicable,high,review_now,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.alphafold.coordinate_reconstruction@ageoa/alphafold/atoms.py:109,ageoa.alphafold.coordinate_reconstruction,alphafold,none,0,0,not_applicable,medium,review_soon,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.alphafold.equivariant_frame_update@ageoa/alphafold/atoms.py:74,ageoa.alphafold.equivariant_frame_update,alphafold,none,0,0,not_applicable,medium,review_soon,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
