atom_id,atom_name,acceptability_score,acceptability_band,max_reviewable_verdict,structural,runtime,upstream_fidelity,developer_semantics,trust_support,hard_blockers,major_penalties
ageoa.advancedvi.location_scale.evaluate_log_probability_density@ageoa/advancedvi/location_scale/atoms.py:18,ageoa.advancedvi.location_scale.evaluate_log_probability_density,62,limited_acceptability,acceptable_with_limits,20,6,14,12,10,,FIDELITY_UPSTREAM_SIGNATURE_UNAVAILABLE;RUNTIME_NO_PROBE_EVIDENCE;SEMANTICS_LOW_NAME_OVERLAP
ageoa.advancedvi.optimize.optimizationlooporchestration@ageoa/advancedvi/optimize/atoms.py:21,ageoa.advancedvi.optimize.optimizationlooporchestration,62,limited_acceptability,acceptable_with_limits,20,6,14,12,10,,FIDELITY_UPSTREAM_SIGNATURE_UNAVAILABLE;RUNTIME_NO_PROBE_EVIDENCE;SEMANTICS_LOW_NAME_OVERLAP
ageoa.advancedvi.repgradelbo.gradient_oracle_evaluation@ageoa/advancedvi/repgradelbo/atoms.py:23,ageoa.advancedvi.repgradelbo.gradient_oracle_evaluation,62,limited_acceptability,acceptable_with_limits,20,6,14,12,10,,FIDELITY_UPSTREAM_SIGNATURE_UNAVAILABLE;RUNTIME_NO_PROBE_EVIDENCE;SEMANTICS_LOW_NAME_OVERLAP
ageoa.algorithms.graph.bfs@ageoa/algorithms/graph.py:77,ageoa.algorithms.graph.bfs,57,limited_acceptability,acceptable_with_limits,17,6,15,15,4,,FIDELITY_UPSTREAM_UNMAPPED;RUNTIME_NO_PROBE_EVIDENCE;STRUCT_CDG_MISSING;TRUST_PROVENANCE_MISSING
ageoa.algorithms.graph.dfs@ageoa/algorithms/graph.py:110,ageoa.algorithms.graph.dfs,57,limited_acceptability,acceptable_with_limits,17,6,15,15,4,,FIDELITY_UPSTREAM_UNMAPPED;RUNTIME_NO_PROBE_EVIDENCE;STRUCT_CDG_MISSING;TRUST_PROVENANCE_MISSING
ageoa.algorithms.graph.dijkstra@ageoa/algorithms/graph.py:143,ageoa.algorithms.graph.dijkstra,57,limited_acceptability,acceptable_with_limits,17,6,15,15,4,,FIDELITY_UPSTREAM_UNMAPPED;RUNTIME_NO_PROBE_EVIDENCE;STRUCT_CDG_MISSING;TRUST_PROVENANCE_MISSING
ageoa.algorithms.graph.bellman_ford@ageoa/algorithms/graph.py:174,ageoa.algorithms.graph.bellman_ford,57,limited_acceptability,acceptable_with_limits,17,6,15,15,4,,FIDELITY_UPSTREAM_UNMAPPED;RUNTIME_NO_PROBE_EVIDENCE;STRUCT_CDG_MISSING;TRUST_PROVENANCE_MISSING
ageoa.algorithms.graph.floyd_warshall@ageoa/algorithms/graph.py:205,ageoa.algorithms.graph.floyd_warshall,57,limited_acceptability,acceptable_with_limits,17,6,15,15,4,,FIDELITY_UPSTREAM_UNMAPPED;RUNTIME_NO_PROBE_EVIDENCE;STRUCT_CDG_MISSING;TRUST_PROVENANCE_MISSING
ageoa.algorithms.search.binary_search@ageoa/algorithms/search.py:35,ageoa.algorithms.search.binary_search,57,limited_acceptability,acceptable_with_limits,17,6,15,15,4,,FIDELITY_UPSTREAM_UNMAPPED;RUNTIME_NO_PROBE_EVIDENCE;STRUCT_CDG_MISSING;TRUST_PROVENANCE_MISSING
ageoa.algorithms.search.linear_search@ageoa/algorithms/search.py:64,ageoa.algorithms.search.linear_search,57,limited_acceptability,acceptable_with_limits,17,6,15,15,4,,FIDELITY_UPSTREAM_UNMAPPED;RUNTIME_NO_PROBE_EVIDENCE;STRUCT_CDG_MISSING;TRUST_PROVENANCE_MISSING
ageoa.algorithms.search.hash_lookup@ageoa/algorithms/search.py:98,ageoa.algorithms.search.hash_lookup,57,limited_acceptability,acceptable_with_limits,17,6,15,15,4,,FIDELITY_UPSTREAM_UNMAPPED;RUNTIME_NO_PROBE_EVIDENCE;STRUCT_CDG_MISSING;TRUST_PROVENANCE_MISSING
ageoa.algorithms.sorting.merge_sort@ageoa/algorithms/sorting.py:29,ageoa.algorithms.sorting.merge_sort,57,limited_acceptability,acceptable_with_limits,17,6,15,15,4,,FIDELITY_UPSTREAM_UNMAPPED;RUNTIME_NO_PROBE_EVIDENCE;STRUCT_CDG_MISSING;TRUST_PROVENANCE_MISSING
ageoa.algorithms.sorting.quicksort@ageoa/algorithms/sorting.py:51,ageoa.algorithms.sorting.quicksort,57,limited_acceptability,acceptable_with_limits,17,6,15,15,4,,FIDELITY_UPSTREAM_UNMAPPED;RUNTIME_NO_PROBE_EVIDENCE;STRUCT_CDG_MISSING;TRUST_PROVENANCE_MISSING
ageoa.algorithms.sorting.heapsort@ageoa/algorithms/sorting.py:73,ageoa.algorithms.sorting.heapsort,57,limited_acceptability,acceptable_with_limits,17,6,15,15,4,,FIDELITY_UPSTREAM_UNMAPPED;RUNTIME_NO_PROBE_EVIDENCE;STRUCT_CDG_MISSING;TRUST_PROVENANCE_MISSING
ageoa.algorithms.sorting.counting_sort@ageoa/algorithms/sorting.py:109,ageoa.algorithms.sorting.counting_sort,57,limited_acceptability,acceptable_with_limits,17,6,15,15,4,,FIDELITY_UPSTREAM_UNMAPPED;RUNTIME_NO_PROBE_EVIDENCE;STRUCT_CDG_MISSING;TRUST_PROVENANCE_MISSING
ageoa.algorithms.sorting.radix_sort@ageoa/algorithms/sorting.py:146,ageoa.algorithms.sorting.radix_sort,57,limited_acceptability,acceptable_with_limits,17,6,15,15,4,,FIDELITY_UPSTREAM_UNMAPPED;RUNTIME_NO_PROBE_EVIDENCE;STRUCT_CDG_MISSING;TRUST_PROVENANCE_MISSING
ageoa.alphafold.invariant_point_attention@ageoa/alphafold/atoms.py:22,ageoa.alphafold.invariant_point_attention,59,limited_acceptability,acceptable_with_limits,20,6,15,15,4,,FIDELITY_UPSTREAM_UNMAPPED;RUNTIME_NO_PROBE_EVIDENCE;TRUST_PROVENANCE_MISSING
ageoa.alphafold.equivariant_frame_update@ageoa/alphafold/atoms.py:74,ageoa.alphafold.equivariant_frame_update,59,limited_acceptability,acceptable_with_limits,20,6,15,15,4,,FIDELITY_UPSTREAM_UNMAPPED;RUNTIME_NO_PROBE_EVIDENCE;TRUST_PROVENANCE_MISSING
ageoa.alphafold.coordinate_reconstruction@ageoa/alphafold/atoms.py:109,ageoa.alphafold.coordinate_reconstruction,59,limited_acceptability,acceptable_with_limits,20,6,15,15,4,,FIDELITY_UPSTREAM_UNMAPPED;RUNTIME_NO_PROBE_EVIDENCE;TRUST_PROVENANCE_MISSING
ageoa.astroflow.dedispersionkernel@ageoa/astroflow/atoms.py:23,ageoa.astroflow.dedispersionkernel,62,limited_acceptability,acceptable_with_limits,20,6,14,12,10,,FIDELITY_UPSTREAM_SIGNATURE_UNAVAILABLE;RUNTIME_NO_PROBE_EVIDENCE;SEMANTICS_LOW_NAME_OVERLAP
ageoa.bayes_rs.bernoulli.bernoulli_probabilistic_oracle@ageoa/bayes_rs/bernoulli/atoms.py:15,ageoa.bayes_rs.bernoulli.bernoulli_probabilistic_oracle,65,limited_acceptability,acceptable_with_limits,20,6,14,15,10,,FIDELITY_UPSTREAM_SIGNATURE_UNAVAILABLE;RUNTIME_NO_PROBE_EVIDENCE
ageoa.belief_propagation.loopy_bp.initialize_message_passing_state@ageoa/belief_propagation/loopy_bp/atoms.py:23,ageoa.belief_propagation.loopy_bp.initialize_message_passing_state,62,limited_acceptability,acceptable_with_limits,20,6,14,12,10,,FIDELITY_UPSTREAM_SIGNATURE_UNAVAILABLE;RUNTIME_NO_PROBE_EVIDENCE;SEMANTICS_LOW_NAME_OVERLAP
ageoa.belief_propagation.loopy_bp.run_loopy_message_passing_and_belief_query@ageoa/belief_propagation/loopy_bp/atoms.py:53,ageoa.belief_propagation.loopy_bp.run_loopy_message_passing_and_belief_query,65,limited_acceptability,acceptable_with_limits,20,6,14,15,10,,FIDELITY_UPSTREAM_SIGNATURE_UNAVAILABLE;RUNTIME_NO_PROBE_EVIDENCE
ageoa.biosppy.abp_zong.audio_onset_detection@ageoa/biosppy/abp_zong/atoms.py:23,ageoa.biosppy.abp_zong.audio_onset_detection,79,acceptable_with_limits_candidate,acceptable_with_limits,20,6,31,12,10,,FIDELITY_REQUIREDNESS_MISMATCH;RUNTIME_NO_PROBE_EVIDENCE;SEMANTICS_LOW_NAME_OVERLAP
